ObservationLocation                    ,ObservationCode,ObservationURL,ObservationState
Adak Island Adak Airport (PADK),PADK,http://w1.weather.gov/xml/current_obs/display.php?stid=PADK,AK
Akun Airport (PAUT),PAUT,http://w1.weather.gov/xml/current_obs/display.php?stid=PAUT,AK
Ambler Ambler Airport (PAFM),PAFM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFM,AK
Anaktuvuk Pass Anaktuvuk Pass Airport (PAKP),PAKP,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKP,AK
Anchorage Elmendorf Air Force Base (PAED),PAED,http://w1.weather.gov/xml/current_obs/display.php?stid=PAED,AK
Anchorage Lake Hood Seaplane Base (PALH),PALH,http://w1.weather.gov/xml/current_obs/display.php?stid=PALH,AK
Anchorage Merrill Field Airport (PAMR),PAMR,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMR,AK
Anchorage Ted Stevens Anchorage International Airport (PANC),PANC,http://w1.weather.gov/xml/current_obs/display.php?stid=PANC,AK
Angoon (PAGN),PAGN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGN,AK
Aniak Aniak Airport (PANI),PANI,http://w1.weather.gov/xml/current_obs/display.php?stid=PANI,AK
Annette Island Airport (PANT),PANT,http://w1.weather.gov/xml/current_obs/display.php?stid=PANT,AK
Anvik Anvik Airport (PANV),PANV,http://w1.weather.gov/xml/current_obs/display.php?stid=PANV,AK
Arctic Village Arctic Village Airport (PARC),PARC,http://w1.weather.gov/xml/current_obs/display.php?stid=PARC,AK
Atka Atka Airport (PAAK),PAAK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAAK,AK
Atqasuk (PATQ),PATQ,http://w1.weather.gov/xml/current_obs/display.php?stid=PATQ,AK
Barrow Wiley Post-Will Rogers Memorial Airport (PABR),PABR,http://w1.weather.gov/xml/current_obs/display.php?stid=PABR,AK
Barter Island Barter Island LRRS Airport (PABA),PABA,http://w1.weather.gov/xml/current_obs/display.php?stid=PABA,AK
Bethel Bethel Airport (PABE),PABE,http://w1.weather.gov/xml/current_obs/display.php?stid=PABE,AK
Bettles Bettles Airport (PABT),PABT,http://w1.weather.gov/xml/current_obs/display.php?stid=PABT,AK
Birchwood Birchwood Airport (PABV),PABV,http://w1.weather.gov/xml/current_obs/display.php?stid=PABV,AK
Buckland Buckland Airport (PABL),PABL,http://w1.weather.gov/xml/current_obs/display.php?stid=PABL,AK
Chignik Chignik Airport (PAJC),PAJC,http://w1.weather.gov/xml/current_obs/display.php?stid=PAJC,AK
Clarks Point Airport (PFCL),PFCL,http://w1.weather.gov/xml/current_obs/display.php?stid=PFCL,AK
Cold Bay Cold Bay Airport (PACD),PACD,http://w1.weather.gov/xml/current_obs/display.php?stid=PACD,AK
Cordova Merle K (Mudhole) Smith Airport (PACV),PACV,http://w1.weather.gov/xml/current_obs/display.php?stid=PACV,AK
Deadhorse Alpine Airstrip (PALP),PALP,http://w1.weather.gov/xml/current_obs/display.php?stid=PALP,AK
Deadhorse Deadhorse Airport (PASC),PASC,http://w1.weather.gov/xml/current_obs/display.php?stid=PASC,AK
Deering Deering/New Airport (PADE),PADE,http://w1.weather.gov/xml/current_obs/display.php?stid=PADE,AK
Delta Junction/Ft Greely Allen Army Airfield (PABI),PABI,http://w1.weather.gov/xml/current_obs/display.php?stid=PABI,AK
Dillingham Dillingham Airport (PADL),PADL,http://w1.weather.gov/xml/current_obs/display.php?stid=PADL,AK
Eagle Eagle Airport (PAEG),PAEG,http://w1.weather.gov/xml/current_obs/display.php?stid=PAEG,AK
Egegik Egegik Airport (PAII),PAII,http://w1.weather.gov/xml/current_obs/display.php?stid=PAII,AK
Elfin Cove - Elfin Cove Seaplane Base (PAEL),PAEL,http://w1.weather.gov/xml/current_obs/display.php?stid=PAEL,AK
Emmonak Emmonak Airport (PAEM),PAEM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAEM,AK
Eureka Skelton Airport (PAZK),PAZK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAZK,AK
Fairbanks Eielson Air Force Base (PAEI),PAEI,http://w1.weather.gov/xml/current_obs/display.php?stid=PAEI,AK
Fairbanks Fairbanks International Airport (PAFA),PAFA,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFA,AK
Fort Wainwright AAF (PAFB),PAFB,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFB,AK
Fort Yukon Fort Yukon Airport (PFYU),PFYU,http://w1.weather.gov/xml/current_obs/display.php?stid=PFYU,AK
Ft. Richardson / Bryant U. S. Army Heliport Ak (PAFR),PAFR,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFR,AK
Galena Edward G. Pitka Sr. Airport (PAGA),PAGA,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGA,AK
Gambell Gambell Airport (PAGM),PAGM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGM,AK
Golovin Golovin Airport (PAGL),PAGL,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGL,AK
Gulkana Gulkana Airport (PAGK),PAGK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGK,AK
Gustavus Gustavus Airport (PAGS),PAGS,http://w1.weather.gov/xml/current_obs/display.php?stid=PAGS,AK
Haines - Haines Airport (PAHN),PAHN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHN,AK
Holy Cross (PAHC),PAHC,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHC,AK
Homer Homer Airport (PAHO),PAHO,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHO,AK
Hoonah - Hoonah Seaplane Base (PAOH),PAOH,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOH,AK
Hooper Bay Hooper Bay Airport (PAHP),PAHP,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHP,AK
Huslia Huslia Airport (PAHL),PAHL,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHL,AK
Hydaburg - Hydaburg Seaplane Base (PAHY),PAHY,http://w1.weather.gov/xml/current_obs/display.php?stid=PAHY,AK
Igiugig (PAIG),PAIG,http://w1.weather.gov/xml/current_obs/display.php?stid=PAIG,AK
Iliamna Iliamna Airport (PAIL),PAIL,http://w1.weather.gov/xml/current_obs/display.php?stid=PAIL,AK
Juneau Juneau International Airport (PAJN),PAJN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAJN,AK
Kake - Kake Airport (PAFE),PAFE,http://w1.weather.gov/xml/current_obs/display.php?stid=PAFE,AK
Kalskag (PALG),PALG,http://w1.weather.gov/xml/current_obs/display.php?stid=PALG,AK
Kaltag Kaltag Airport (PAKV),PAKV,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKV,AK
Kenai Kenai Municipal Airport (PAEN),PAEN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAEN,AK
Ketchikan Ketchikan International Airport (PAKT),PAKT,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKT,AK
Kinana / Bob Baker Me (PAIK),PAIK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAIK,AK
King Salmon King Salmon Airport (PAKN),PAKN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKN,AK
Kivalina Kivalina Airport (PAVL),PAVL,http://w1.weather.gov/xml/current_obs/display.php?stid=PAVL,AK
Klawock - Klawock Airport (PAKW),PAKW,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKW,AK
Kodiak Kodiak Airport (PADQ),PADQ,http://w1.weather.gov/xml/current_obs/display.php?stid=PADQ,AK
Koliganek (PAJZ),PAJZ,http://w1.weather.gov/xml/current_obs/display.php?stid=PAJZ,AK
Koyuk Koyuk Airport (PAKK),PAKK,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKK,AK
Kuparuk Ugnu-Kuparuk Airport (PAKU),PAKU,http://w1.weather.gov/xml/current_obs/display.php?stid=PAKU,AK
Kwethluk Airport (PFKW),PFKW,http://w1.weather.gov/xml/current_obs/display.php?stid=PFKW,AK
Manokotak (PAMB),PAMB,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMB,AK
Marshall (PADM),PADM,http://w1.weather.gov/xml/current_obs/display.php?stid=PADM,AK
McGrath McGrath Airport (PAMC),PAMC,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMC,AK
McKinley Park McKinley National Park Airport (PAIN),PAIN,http://w1.weather.gov/xml/current_obs/display.php?stid=PAIN,AK
Mekoryuk Mekoryuk Airport (PAMY),PAMY,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMY,AK
Metlakatla Metlakatla Seaplane Base (PAMM),PAMM,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMM,AK
Middleton Island Middleton Island Airport (PAMD),PAMD,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMD,AK
Minchumina Minchumina Airport (PAMH),PAMH,http://w1.weather.gov/xml/current_obs/display.php?stid=PAMH,AK
Napakiak Airport (PANA),PANA,http://w1.weather.gov/xml/current_obs/display.php?stid=PANA,AK
Nelson Lagoon (PAOU),PAOU,http://w1.weather.gov/xml/current_obs/display.php?stid=PAOU,AK
